,,,,,,,,,,,,,,,,,
編號,站別,名稱,水權狀號,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月,年實取水量(m³),
1 ,卓蘭,苗豐抽水井,K0124239,26.34,801.26,"2,255.95",10.14,0.00,"1,679.18",906.52,,,,,,"5,679.39",
2 ,山腳,泰田抽水井,K0086033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,0.00,
3 ,山腳,社柑抽水井,K0086034,302.40,"21,772.80","38,556.00","16,632.00","18,144.00","15,120.00","15,120.00",,,,,,"125,647.20",
4 ,山腳,社南抽水井,K0123393,115.20,"8,294.40","14,688.00","8,064.00","8,064.00","6,336.00","6,336.00",,,,,,"51,897.60",
5 ,山腳,濁一抽水井,K0123725,273.60,"19,699.20","19,836.00","6,566.40","1,094.40","1,094.40","1,094.40",,,,,,"49,658.40",
6 ,山腳,啟心抽水井,K0123768,216.00,"13,608.00","11,232.00","5,184.00",0.00,0.00,0.00,,,,,,"30,240.00",
7 ,山腳,山柑一號抽水井,K1140087,0.00,0.00,0.00,126.00,630.00,"1,008.00","1,008.00",,,,,,"2,772.00",原井報廢，舊址鑿新井，會有新的水權號
8 ,山腳,山柑二號抽水井,K0124362,252.00,"18,144.00","20,160.00","2,016.00","2,646.00","3,024.00","15,120.00",,,,,,"61,362.00",
9 ,山腳,濁水二號抽水井,K1140122,0.00,0.00,0.00,0.00,0.00,331.20,579.60,,,,,,910.80,
10 ,苑裡,新復一號抽水井,K0123688,0.00,"52,963.20","68,852.16","32,881.32","41,487.84","36,853.56",0.00,,,,,,"233,038.08",
11 ,苑裡,新復二號抽水井,K0123786,0.00,"32,832.00","42,681.60","26,265.60","31,600.80","22,845.60",0.00,,,,,,"156,225.60",
12 ,苑裡,田心小組抽水井,K0123766,0.00,"51,408.00","109,368.00","37,548.00","27,720.00","42,084.00",0.00,,,,,,"268,128.00",
13 ,苑裡,田心二號抽水井,K0124420,0.00,"37,233.00","82,026.00","28,161.00","33,264.00","31,563.00",0.00,,,,,,"212,247.00",
