臺中管理處地下水水權狀總表,,,,,,,,,,,,,,,,,,,,
編號,站別,名稱,水權狀號,核准,年限,灌溉面積(ha),引水地點,使用方法,引用水量(cms),每日用水時間(hr),年可引用水量(m³),水井深度(m),引水月份,水系,,,,cmd,,
1 ,卓蘭,苗豐抽水井,K0124239,1120808,1170807,7.108158,苗栗縣卓蘭鎮苗豐段277地號,,0.0169,16,"355,305.60",120,每月,大安溪,,,,973.44,,
2 ,山腳,泰田抽水井,K0086033,1110401,1160331,5.1547,苗栗縣苑裡鎮泰田段647-1地號,,0.0136,20,"357,408.00",120,每月,大安溪,,,,979.2,,
3 ,山腳,社柑抽水井,K0086034,1110401,1160331,13.81053,苗栗縣苑裡鎮社柑段1220-1地號,,0.042,20,"1,103,760.00",120,每月,大安溪,,,,3024,,
4 ,山腳,社南抽水井,K0123393,1111101,1161031,8.877913,苗栗縣苑裡鎮鎮安段23-1地號,,0.016,20,"420,480.00",75,每月,大安溪,,,,1152,,
5 ,山腳,濁一抽水井,K0123725,1110101,1151231,9.203787,苗栗縣苑裡鎮啟心段1248-1地號,,0.038,20,"998,640.00",156,每月,大安溪,,,,2736,,
6 ,山腳,啟心抽水井,K0123768,1121201,1171130,13.0317,苗栗縣苑裡鎮啟心段728地號,,0.03,20,"788,400.00",180,每月,大安溪,,,,2160,,
7 ,山腳,山柑一號抽水井,K1140087,1140811,1190810,9.616475,苗栗縣苑裡鎮火炎山段401地號,,0.035,20,"919,800.00",100,每月,大安溪,114年8月重新許可,,,2520,,
8 ,山腳,山柑二號抽水井,K0124362,1130711,1180710,9.796735,苗栗縣苑裡鎮社柑段2201-1地號,,0.035,20,"919,800.00",42,每月,大安溪,,,,2520,,
9 ,山腳,濁水二號抽水井,K1140122,1141011,1191010,6.279985,苗栗縣苑裡鎮火炎山段974-1地號,,0.023,20,"604,440.00",100,每月,大安溪,114年10月新增,,,1656,,
10 ,苑裡,新復一號抽水井,K0123688,1110101,1151231,20.77669,苗栗縣苑裡鎮新復東段702地號,,0.0613,20,"1,610,964.00",150,每月,大安溪,,,,4413.6,,
11 ,苑裡,新復二號抽水井,K0123786,1130201,1180131,9.373183,苗栗縣苑裡鎮新復東段277-1地號,,0.038,20,"998,640.00",96,每月,大安溪,,,,2736,,
12 ,苑裡,田心小組抽水井,K0123766,1121201,1171130,17.7692,苗栗縣苑裡鎮田中段620地號,,0.07,20,"1,839,600.00",84,每月,大安溪,,,,5040,,
13 ,苑裡,田心二號抽水井,K0124420,1140401,1190331,12.9296,苗栗縣苑裡鎮田中段1068地號,,0.0525,20,"1,379,700.00",126,每月,大安溪,,,,3780,,
14 ,苑裡,西勢支線抽水井,K0123779,1130201,1180131,4.3805,苗栗縣苑裡鎮西海段452地號,,0.0175,20,"459,900.00",150,每月,大安溪,,,,1260,,
15 ,苑裡,砂埤支線抽水井,K0124485,1140901,1190831,6.1158,苗栗縣苑裡鎮舊社段644-5地號,,0.025,20,"657,000.00",84,每月,大安溪,,,,1800,,
16 ,泰安,新店圳一號抽水井,B0130278,1120201,1170131,23.758244,臺中市后里區新店東段42地號,,0.076,20,"1,997,280.00",120,每月,大安溪,,,,5472,,
